term,normalized_term,semantic_hint,category,jurisdiction,source_name,source_url,source_family,source_authority,source_authority_level,source_attested,derived_variant,parent_term,acronym,acronym_expansion,collision_risk,license_status,retrieval_date,notes,collision_census_name,cross_evidence_overlaps
Performance-Based Acquisition,performance-based acquisition,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,PBA,Performance-Based Acquisition,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source acronym,false,
Permanent Record,permanent record,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Personal Papers,personal papers,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Personal Services Contract,personal services contract,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Personally Identifiable Information,personally identifiable information,RECORDS_INFORMATION,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,PII,Personally Identifiable Information,MEDIUM,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,explicit source acronym; not a PII list,false,
Petition for Rulemaking,petition for rulemaking,DOCUMENT,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
PII,pii,RECORDS_INFORMATION,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,Personally Identifiable Information,PII,Personally Identifiable Information,MEDIUM,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Plant Clearance Officer,plant clearance officer,ROLE,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Position Classification,position classification,EMPLOYMENT_ADMIN,GOVERNMENT_EMPLOYMENT,US_FEDERAL,OPM — Classification & Qualifications,https://www.opm.gov/policy-data-oversight/classification-qualifications/,OPM_CLASSIFICATION,U.S. Office of Personnel Management,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,OPM classification FAQ,false,
Position Classification Standards,position classification standards,DOCUMENT,GOVERNMENT_EMPLOYMENT,US_FEDERAL,OPM — Classification & Qualifications,https://www.opm.gov/policy-data-oversight/classification-qualifications/,OPM_CLASSIFICATION,U.S. Office of Personnel Management,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Pre-Accessioning,pre-accessioning,PROCESS_EVENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Preaward Survey,preaward survey,PROCESS_EVENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Presidential Document,presidential document,DOCUMENT,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,Federal Register document type,false,
Pricing,pricing,FISCAL_ADMIN,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Proactive Disclosures,proactive disclosures,PUBLIC_SERVICE,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,MEDIUM,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Processed Request or Processed Appeal,processed request or processed appeal,PROCESS_EVENT,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,LOW,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Procurement,procurement,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,FAR cross-reference to acquisition,false,
Procuring Activity,procuring activity,GOVERNMENT_STRUCTURE,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Program Records,program records,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Proper Invoice,proper invoice,DOCUMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Proposed Rule,proposed rule,RULEMAKING,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,Federal Register document type,false,
Public Comment,public comment,PROCESS_EVENT,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Public Hearing,public hearing,ADMINISTRATIVE_PROCEEDING,PUBLIC_MEETINGS,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Public Inspection,public inspection,PROCESS_EVENT,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,Federal Register publishing process,false,
Purchase Order,purchase order,DOCUMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
PWS,pws,DOCUMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,Performance Work Statement,PWS,Performance Work Statement,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
QPL,qpl,DOCUMENT_SYSTEM,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,Qualified Products List,QPL,Qualified Products List,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Qualification Requirement,qualification requirement,ENFORCEMENT_COMPLIANCE,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Qualification Requirements,qualification requirements,EMPLOYMENT_ADMIN,GOVERNMENT_EMPLOYMENT,US_FEDERAL,OPM — Classification & Qualifications,https://www.opm.gov/policy-data-oversight/classification-qualifications/,OPM_CLASSIFICATION,U.S. Office of Personnel Management,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Qualified Products List,qualified products list,DOCUMENT_SYSTEM,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,QPL,Qualified Products List,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source acronym,false,
R&D,r&d,PROGRAM_ADMIN,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,Research and Development,R&D,Research and Development,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Recipient,recipient,ROLE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Record,record,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,true,legal
Record Series,record series,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Record Values,record values,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Recorded Information,recorded information,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Records Management,records management,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,RM,Records Management,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,NARA acronym table,false,
Records Management Application,records management application,DATA_SYSTEM,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,RMA,Records Management Application,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,NARA acronym table,false,
Records Retention,records retention,PROCESS_EVENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Records Schedule,records schedule,DOCUMENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Records Schedule Item,records schedule item,DOCUMENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,LOW,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Regulatory Text,regulatory text,DOCUMENT,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Request for Records Disposition Authority,request for records disposition authority,DOCUMENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,LOW,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Requester,requester,ROLE,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,HIGH,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Requester Category,requester category,ROLE,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,MEDIUM,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Research and Development,research and development,PROGRAM_ADMIN,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,R&D,Research and Development,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source abbreviation,false,
Retention,retention,PROCESS_EVENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Retirement,retirement,PROCESS_EVENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,records transfer sense,false,
Review Fees,review fees,FISCAL_ADMIN,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,MEDIUM,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Risk,risk,OTHER_DOMAIN_TERM,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,true,finance_accounting_tax
Risk Analysis,risk analysis,ENFORCEMENT_COMPLIANCE,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Risk Assessment,risk assessment,ENFORCEMENT_COMPLIANCE,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,legal
Risk Factor,risk factor,ENFORCEMENT_COMPLIANCE,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Risk Management,risk management,ENFORCEMENT_COMPLIANCE,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
RM,rm,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,Records Management,RM,Records Management,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
RMA,rma,DATA_SYSTEM,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,Records Management Application,RMA,Records Management Application,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Role,role,ROLE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Grants.gov system term,true,higher_ed
Role Manager,role manager,ROLE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Rule,rule,RULEMAKING,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; terminology only,2026-08-10,Federal Register document type,true,
SAM,sam,DOCUMENT_SYSTEM,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,System for Award Management,SAM,System for Award Management,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,true,
SAO,sao,ROLE,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,Senior Agency Official,SAO,Senior Agency Official,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,true,
Scheduled Records,scheduled records,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Scheduling,scheduling,PROCESS_EVENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,records-management sense,false,
Search,search,PROCESS_EVENT,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,HIGH,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,FOIA retrieval sense; very ambiguous,true,
Search Fees,search fees,FISCAL_ADMIN,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,MEDIUM,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Senior Agency Official,senior agency official,ROLE,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,SAO,Senior Agency Official,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,explicit source acronym,false,
Series,series,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,source alias,false,
Series,series,EMPLOYMENT_ADMIN,GOVERNMENT_EMPLOYMENT,US_FEDERAL,OPM — Classification & Qualifications,https://www.opm.gov/policy-data-oversight/classification-qualifications/,OPM_CLASSIFICATION,U.S. Office of Personnel Management,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; terminology only,2026-08-10,OPM occupational-series sense,false,
SF 115,sf 115,DOCUMENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,Standard Form 115,SF 115,Standard Form 115,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
SFA,sfa,PROGRAM_ADMIN,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,Student Financial Aid,SFA,Student Financial Aid,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,higher_ed
Shared Drives,shared drives,DATA_SYSTEM,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Simple Request,simple request,DOCUMENT,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,MEDIUM,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Simplified Acquisition Procedures,simplified acquisition procedures,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Simplified Acquisition Threshold,simplified acquisition threshold,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
"Single, Governmentwide Point of Entry","single, governmentwide point of entry",DATA_SYSTEM,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Small Business Concern,small business concern,ORGANIZATION,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Small Business Subcontractor,small business subcontractor,ROLE,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Small Business Teaming Arrangement,small business teaming arrangement,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
